Task,Role
Assisting the machine learning team with the AI model outputs integration and testing.,Business Analyst
"Development of the application data model, logic, rules, behavior, features.",Business Analyst
Gathering and populating business data.,Business Analyst
Assisting the machine learning team with the AI model outputs integration and testing.,Data Analyst
"Development of the application data model, logic, rules, behavior, features.",Data Analyst
Gathering and populating business data.,Data Analyst
Rules engine emulator design and development.,Data Analyst
"Development of the application data model, logic, rules, behavior, features.",Data Architect
Gathering and populating business data.,Data Architect
Rules engine emulator design and development.,Product Designer
"Analytical dashboards design, development, enhancement / customization. ",BI Developer
Migration of a large number of analytical dashboards to a new server.,BI Developer
"New analytical framework implementation: data, tools, processes, communication.",BI Developer
Data QA assurance: prioritizing and resolving data QA requests from a large number of teams.,Consultant
"New analytical framework implementation: data, tools, processes, communication.",Consultant
Data QA assurance: prioritizing and resolving data QA requests from a large number of teams.,Data Analyst
Data transformation and modeling.,Data Analyst
Data transformation and modeling.,Data Modeler
"New analytical framework implementation: data, tools, processes, communication.",Data Modeler
"Analytical dashboards design, development, enhancement / customization. ",Product Designer
"New analytical framework implementation: data, tools, processes, communication.",Product Designer
Ledger accounts data mining and analytical reviews.,Audit Assistant
Routine manual processes automation.,Audit Assistant
Routine manual processes automation.,Automation Engineer
Ledger accounts data mining and analytical reviews.,Data Analyst
Testing and evaluating controls procedures.,Data Analyst
Testing and evaluating controls procedures.,Audit Assistant
"In charge of corporate financial forecast model: providing data for BoD, SEC, investors, earnings calls, auditors.",BI Developer
"In charge of corporate financial forecast model: providing data for BoD, SEC, investors, earnings calls, auditors.",Business Analyst
"In charge of corporate financial forecast model: providing data for BoD, SEC, investors, earnings calls, auditors.",Consultant
"In charge of corporate financial forecast model: providing data for BoD, SEC, investors, earnings calls, auditors.",Data Analyst
"In charge of corporate financial forecast model: providing data for BoD, SEC, investors, earnings calls, auditors.",Product Designer
Mergers and acquisitions P&L consolidation.,Data Modeler
Mergers and acquisitions P&L consolidation.,Data Analyst
Data migration QA framework development.,Business Analyst
Stakeholder engagement and processes optimization.,Business Analyst
UI functional / unit testing and requirements management.,Business Analyst
Data migration QA framework development.,Data Analyst
"Master data model creation. Reverse engineering legacy models, rules, transformations and lineage.",Data Analyst
Data migration QA framework development.,Data Modeler
